Main category,Sub-category
Arts,Fine Arts and Aesthetics
Arts,"Music, hymns, songs"
Arts,"Theatre, plays, opera"
Education,Advice literature
Education,General Education
Education,Recipe Books
Education,Hobbies & Games
Education,Instructional books
History,Biographical History
History,General History
Law,"Acts, proclamations"
Law,Appeals
Law,Collected bills
Law,Legal essays
Law,Licences
Law,Proclamations
Law,Trial accounts
Literature,Classics
Literature,Collected Works
Literature,Criticism
Literature,Drama
Literature,Novels
Literature,Other fiction
Literature,Periodicals
Literature,Poetry
Literature,Travel
Philosophy,"Human understanding, metaphysics"
Philosophy,Moral Philosophy
Philosophy,Political philosophy
Politics,Political essays
Politics,Intelligence
Politics,Parliamentary speeches
Religion,Sermons
Religion,Theology
Sales Catalogues,"Sales catalogues, almanacs, directories etcetera"
Scientific Improvement,Agriculture and animal husbandry
Scientific Improvement,Economics and trade
Scientific Improvement,"Geography, cartography, astronomy and navigation"
Scientific Improvement,Languages
Scientific Improvement,Mathematics
Scientific Improvement,Medicine and anatomy
Scientific Improvement,Natural history
Scientific Improvement,Natural philosophy
Scientific Improvement,"Practical trades, mechanics, engineering"
